iter	Passed	Remaining
581	5717	4106
582	5722	4093
583	5736	4086
584	5745	4075
585	5750	4062
586	5756	4049
587	5772	4044
588	5787	4038
589	5791	4024
590	5805	4017
591	5843	4027
592	5848	4013
593	5861	4006
594	5865	3992
595	5881	3986
596	5885	3972
597	5898	3964
598	5901	3950
599	5914	3943
600	5918	3929
601	5923	3915
602	5931	3905
603	5935	3891
604	5940	3878
605	5949	3868
606	5955	3855
607	5958	3841
608	5962	3828
609	5968	3815
610	5973	3803
611	5979	3790
612	5985	3778
613	5988	3765
614	6003	3758
615	6008	3745
616	6020	3737
617	6024	3723
618	6027	3710
619	6041	3702
620	6045	3689
621	6054	3679
622	6058	3666
623	6065	3655
624	6071	3642
625	6076	3630
626	6080	3617
627	6083	3603
628	6088	3591
629	6094	3579
630	6100	3567
631	6105	3555
632	6109	3542
633	6112	3528
634	6131	3524
635	6154	3522
636	6160	3510
637	6171	3501
638	6185	3494
639	6190	3482
640	6205	3475
641	6219	3468
642	6233	3461
643	6238	3448
644	6242	3435
645	6247	3423
646	6254	3412
647	6258	3399
648	6265	3388
649	6269	3375
650	6273	3363
651	6279	3351
652	6284	3339
653	6288	3326
654	6293	3314
655	6303	3305
656	6324	3301
657	6329	3289
658	6333	3277
659	6338	3265
660	6343	3253
661	6357	3246
662	6362	3234
663	6367	3221
664	6370	3209
665	6375	3197
666	6379	3184
667	6383	3172
668	6397	3165
669	6415	3159
670	6420	3147
671	6435	3140
672	6450	3134
673	6454	3121
674	6521	3140
675	6545	3137
676	6549	3124
677	6562	3116
678	6567	3105
679	6580	3096
680	6584	3084
681	6591	3073
682	6601	3063
683	6617	3057
684	6628	3048
685	6633	3036
686	6638	3024
687	6643	3012
688	6655	3003
689	6659	2991
690	6664	2980
691	6687	2976
692	6691	2964
693	6695	2952
694	6709	2944
695	6720	2935
696	6724	2923
697	6740	2916
698	6749	2906
699	6757	2895
700	6764	2885
701	6774	2875
702	6790	2868
703	6795	2857
704	6810	2849
705	6815	2838
706	6825	2828
707	6831	2817
708	6839	2807
709	6854	2799
710	6999	2844
711	7006	2834
712	7036	2832
713	7040	2819
714	7054	2812
715	7070	2804
716	7076	2793
717	7082	2781
718	7089	2770
719	7093	2758
720	7102	2748
721	7108	2737
722	7124	2729
723	7129	2717
724	7134	2706
725	7146	2697
726	7151	2685
727	7165	2677
728	7169	2665
729	7173	2653
730	7198	2648
731	7202	2637
732	7210	2626
733	7216	2615
734	7232	2607
735	7246	2599
736	7250	2587
737	7284	2586
738	7299	2578
739	7314	2570
740	7329	2561
741	7361	2559
742	7366	2548
743	7381	2539
744	7390	2529
745	7401	2520
746	7447	2522
747	7481	2520
748	7490	2510
749	7499	2499
750	7503	2487
751	7521	2480
752	7555	2478
753	7559	2466
754	7571	2456
755	7578	2446
756	7588	2436
757	7600	2426
758	7615	2417
759	7618	2405
760	7628	2395
761	7635	2384
762	7647	2375
763	7662	2367
764	7670	2356
765	7680	2346
766	7684	2334
767	7688	2322
768	7693	2311
769	7697	2299
770	7702	2287
771	7711	2277
772	7722	2267
773	7726	2255
774	7732	2244
775	7744	2235
776	7760	2227
777	7764	2215
778	7768	2203
779	7776	2193
780	7784	2182
781	7799	2174
782	7802	2162
783	7816	2153
784	7823	2142
785	7834	2133
786	7838	2121
787	7847	2111
788	7851	2099
789	7855	2088
790	7868	2078
791	7873	2067
792	7877	2056
793	7882	2044
794	7888	2034
795	7892	2022
796	7910	2014
797	7931	2007
798	7935	1996
799	7950	1987
800	7966	1979
801	7989	1972
802	8017	1966
803	8033	1958
804	8048	1949
805	8079	1944
806	8083	1933
807	8109	1926
808	8114	1915
809	8128	1906
810	8144	1897
811	8148	1886
812	8171	1879
813	8174	1867
814	8193	1859
815	8198	1848
816	8217	1840
817	8250	1835
818	8255	1824
819	8270	1815
820	8286	1806
821	8292	1795
822	8297	1784
823	8304	1773
824	8309	1762
825	8314	1751
826	8321	1740
827	8329	1730
828	8332	1718
829	8336	1707
830	8343	1696
831	8349	1685
832	8354	1674
833	8360	1664
834	8364	1652
835	8368	1641
836	8383	1632
837	8388	1621
838	8416	1615
839	8433	1606
840	8447	1597
841	8452	1586
842	8467	1577
843	8471	1565
844	8491	1557
845	8507	1548
846	8527	1540
847	8533	1529
848	8543	1519
849	8546	1508
850	8555	1498
851	8565	1487
852	8569	1476
853	8573	1465
854	8579	1455
855	8597	1446
856	8604	1435
857	8618	1426
858	8622	1415
859	8636	1406
860	8652	1396
861	8667	1387
862	8678	1377
863	8681	1366
864	8685	1355
865	8688	1344
866	8773	1345
867	8778	1334
868	8792	1325
869	8797	1314
870	8812	1305
871	8817	1294
872	8821	1283
873	8835	1273
874	8849	1264
875	8853	1253
876	8856	1242
877	8871	1232
878	8875	1221
879	8892	1212
880	8909	1203
881	8928	1194
882	8932	1183
883	8957	1175
884	8960	1164
885	8976	1154
886	8993	1145
887	9008	1136
888	9012	1125
889	9027	1115
890	9059	1108
891	9074	1098
892	9080	1087
893	9085	1077
894	9097	1067
895	9105	1056
896	9114	1046
897	9124	1036
898	9131	1025
899	9137	1015
900	9166	1007
901	9177	997
902	9193	987
903	9204	977
904	9215	967
905	9218	956
906	9228	946
907	9236	935
908	9245	925
909	9249	914
910	9256	904
911	9266	894
912	9271	883
913	9275	872
914	9279	862
915	9283	851
916	9299	841
917	9312	831
918	9330	822
919	9337	811
920	9351	802
921	9363	792
922	9367	781
923	9375	771
924	9382	760
925	9395	750
926	9482	746
927	9487	736
928	9501	726
929	9505	715
930	9517	705
931	9523	694
932	9560	686
933	9565	675
934	9576	665
935	9580	655
936	9604	645
937	9615	635
938	9619	624
939	9633	614
940	9642	604
941	9650	594
942	9654	583
943	9660	573
944	9666	562
945	9671	552
946	9676	541
947	9681	531
948	9685	520
949	9696	510
950	9705	500
951	9711	489
952	9716	479
953	9728	469
954	9733	458
955	9747	448
956	9754	438
957	9768	428
958	9778	418
959	9785	407
960	9797	397
961	9802	387
962	9809	376
963	9814	366
964	9818	356
965	9833	346
966	9837	335
967	9853	325
968	9866	315
969	9887	305
970	9892	295
971	9896	285
972	9909	274
973	9926	264
974	9929	254
975	9933	244
976	9937	233
977	9942	223
978	9955	213
979	9959	203
980	9966	193
981	9980	182
982	9995	172
983	10010	162
984	10017	152
985	10025	142
986	10032	132
987	10044	122
988	10049	111
989	10074	101
990	10079	91
991	10092	81
992	10096	71
993	10100	60
994	10103	50
995	10113	40
996	10119	30
997	10123	20
998	10128	10
999	10131	0
